par_id,text,label
4654,rohingya girls stuck in a refugee camp over the bangladeshi border at cox s bazar are also deprived of education almost twothirds said they lack schooling due to a multitude of reasons including hunger beatings rape kidnapping and forced prostitution ,0
1120,therefore for as long as open defecation continues in kogi varsity the female students will continue to be among the statistics of those vulnerable to risk of serious diseases ,0
4814, there are doctors who refuse to treat people with intellectual disabilities healthcare institutions that say to mothers your child is hopeless schools who do nt have programmes and companies who say we wo nt hire people like you he said ,0
5503,the author herself is struck with shock as she hears him saying i felt so hopeless during those times and was wondering how i was going to deal out such things rahman does nt miss to reveal how his mother was so grateful in buying fostex 16track mixerrecorder by selling the jewels she saved for his sisters marriage ,0
5086,the haley incident may not be a systematic operation directed at local traditional media opinionmakers but it showed one of the weak links in the local legitimate media chain while reporters are required to be objective in doing their tasks opinionmakers are not and the reality is that some opinion makers have become partisans making them vulnerable to fake news agitprop agitation propaganda and therefore of laundering fake news ,0
6059,that is not all regarding the quality of life as contained in the millennium development goals such as access to health care potable water electricity and reliable infrastructure the country went from bad to worse a veritable underclass of desperately poor people some derelict and homeless was the underside of increased growth and expansion of the millionaire class brandishing private jets add to this depressing scenario our recent economic convulsions manifested in worsening unemployment upward spiral in the inflation rate the abasement of the salaried elite caught in a debacle of lengthening defaults the virtual wiping out of small scale businesses and you get a social explosion waiting to happen ,1
6631,it should be noted monday was sanchez s second game back from the disabled list he missed about three weeks with a groin strain that ironically he suffered running hard to first base in an effort to beat out a double play ball against the rays in tropicana field last month and for what it s worth it s possible sanchez reaggravated his groin injury monday night ,0
4141,when malaysians reflect on the numerous crimes committed against average lawabiding citizens most malaysians find themselves distancing themselves from politics they begin to talk about the futility of the liberation and the hopeless struggle our elders have invested in for many decades ,0
1364,since most families can no longer find enough food to eat it s not strange that many opt for selfmedication those who can afford it buy an antimalarial with n1 000 or less those who ca nt hunt fordogon yaro and other leaves in the bush it s unfortunate that malaria attacks poor families more often than it does the rich ones ,0
3677,there are an estimated 3 million afghan refugees living in pakistan either officially or unofficially most of whom left their country to escape conflict in the 1980s and 1990s ,0
4337,though overt discrimination has fallen attitudes toward the disabled lag those overseas sometimes in harmful ways in 2016 19 people at a facility for the disabled were killed in their sleep by a man who had advocated euthanasia for the physically and mentally impaired ,0
6665,twins cf danny santana left with a strained right hamstring in the sixth and will be placed on the disabled list ,0
